movie_id,person_id,job
423,2042,Director
2459,10051,Director
425,32765,Director
3823,172,Director
31973,4410,Director
424,15175,Director
2457,37710,Director
126426,1418611,Director
126426,1418612,Director
31925,10586,Director
3822,37626,Director
6331,89576,Director
31952,41671,Director
2458,67753,Director
3819,69167,Director
3821,13426,Director
6334,74638,Director
2460,10051,Director
126548,991868,Director
427,14800,Director
32009,77441,Director
6335,6949,Director
3824,6720,Director
2462,27797,Director
428,380,Director
126577,938636,Director
126577,938637,Director
3825,48980,Director
6332,19228,Director
6336,54607,Director
32017,20739,Director
2463,12987,Director
2463,3415,Director
2463,12936,Director
126921,60725,Director
429,57107,Director
6337,228797,Director
3826,10491,Director
32011,5140,Director
430,61175,Director
426,39104,Director
2465,5140,Director
6338,52112,Director
32019,37932,Director
3827,190,Director
127052,1190421,Director
431,1150,Director
6339,37626,Director
2467,2352,Director
3830,133183,Director
127096,1099862,Director
126482,2216,Director
433,8843,Director
432,66548,Director
32031,5713,Director
127108,77269,Director
6341,58689,Director
3832,25826,Director
127114,930710,Director
2469,1776,Director
434,16938,Director
6344,67813,Director
2470,58453,Director
32060,48055,Director
3833,110726,Director
435,18308,Director
127116,54469,Director
2471,57594,Director
32029,1011158,Director
3834,190,Director
6345,4786,Director
127130,5656,Director
2472,67897,Director
32022,107147,Director
32022,107148,Director
32116,55146,Director
436,21806,Director
2473,58712,Director
32139,15378,Director
3835,129941,Director
127132,1004172,Director
437,12964,Director
6347,60473,Director
127098,52849,Director
3836,54451,Director
32160,11435,Director
6349,1027168,Director
2474,1032,Director
6348,72543,Director
127134,29009,Director
3837,58245,Director
438,27236,Director
32179,15389,Director
127136,150098,Director
440,8858,Director
2468,14911,Director
3838,58245,Director
2475,13776,Director
6350,608,Director
32213,5917,Director
127146,102109,Director
441,564,Director
3839,58245,Director
2476,190,Director
6357,69392,Director
442,58838,Director
3840,60261,Director
2477,18669,Director
32234,4065,Director
32243,68554,Director
127164,96199,Director
444,5216,Director
3841,1724,Director
2478,4610,Director
6365,9339,Director
6365,9340,Director
3831,24248,Director
6333,9032,Director
32289,125544,Director
127152,71797,Director
6358,21506,Director
6367,59026,Director
2481,15488,Director
3843,74671,Director
127172,1061561,Director
32291,1243,Director
445,1895,Director
6342,146811,Director
446,20640,Director
2482,18069,Director
6368,107168,Director
6368,143589,Director
3844,18378,Director
32294,146745,Director
448,2690,Director
127184,222686,Director
3845,53767,Director
6370,17520,Director
127194,240376,Director
127194,62763,Director
32296,58072,Director
2483,57865,Director
32058,10781,Director
449,141825,Director
32298,70777,Director
3846,44807,Director
2456,64875,Director
127198,51866,Director
2488,68424,Director
2485,64815,Director
450,50949,Director
127202,1224031,Director
3847,4695,Director
32300,7312,Director
2490,4723,Director
451,10967,Director
6374,41549,Director
127204,1155547,Director
3849,5029,Director
2491,18679,Director
452,17784,Director
32302,2762765,Director
6371,65429,Director
6375,946395,Director
3851,120685,Director
127212,229482,Director
2492,162102,Director
32314,11011,Director
453,5174,Director
6373,4499,Director
3852,99593,Director
6376,20587,Director
32371,37360,Director
3855,151166,Director
2494,127027,Director
127319,82418,Director
455,18254,Director
127298,45791,Director
6377,7,Director
454,2226,Director
3857,26713,Director
2493,14614,Director
32387,85309,Director
6378,37932,Director
32392,57865,Director
456,52358,Director
127323,1024823,Director
2495,80260,Director
3858,10367,Director
