movieId,title,genres,genres_clean,tags_combined,content_text,n_ratings,effective_alpha
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Adventure Animation Children Comedy Fantasy,pixar pixar fun,Adventure Animation Children Comedy Fantasy pixar pixar fun,215,0.6840909090909091
2,Jumanji (1995),Adventure|Children|Fantasy,Adventure Children Fantasy,fantasy magic board game robin williams game,Adventure Children Fantasy fantasy magic board game robin williams game,110,0.6695652173913044
3,Grumpier Old Men (1995),Comedy|Romance,Comedy Romance,moldy old,Comedy Romance moldy old,52,0.63859649122807
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Comedy Drama Romance,,Comedy Drama Romance,7,0.4083333333333333
5,Father of the Bride Part II (1995),Comedy,Comedy,pregnancy remake,Comedy pregnancy remake,49,0.6351851851851852
6,Heat (1995),Action|Crime|Thriller,Action Crime Thriller,,Action Crime Thriller,102,0.6672897196261682
7,Sabrina (1995),Comedy|Romance,Comedy Romance,remake,Comedy Romance remake,54,0.6406779661016949
8,Tom and Huck (1995),Adventure|Children,Adventure Children,,Adventure Children,8,0.4307692307692308
9,Sudden Death (1995),Action,Action,,Action,16,0.5333333333333332
10,GoldenEye (1995),Action|Adventure|Thriller,Action Adventure Thriller,,Action Adventure Thriller,132,0.6744525547445256
11,"American President, The (1995)",Comedy|Drama|Romance,Comedy Drama Romance,politics president,Comedy Drama Romance politics president,70,0.6533333333333333
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Comedy Horror,,Comedy Horror,19,0.5541666666666666
13,Balto (1995),Adventure|Animation|Children,Adventure Animation Children,,Adventure Animation Children,8,0.4307692307692308
14,Nixon (1995),Drama,Drama,politics president,Drama politics president,18,0.5478260869565217
15,Cutthroat Island (1995),Action|Adventure|Romance,Action Adventure Romance,,Action Adventure Romance,13,0.5055555555555555
16,Casino (1995),Crime|Drama,Crime Drama,mafia,Crime Drama mafia,82,0.6597701149425287
17,Sense and Sensibility (1995),Drama|Romance,Drama Romance,jane austen,Drama Romance jane austen,67,0.6513888888888889
18,Four Rooms (1995),Comedy,Comedy,,Comedy,20,0.5599999999999999
19,Ace Ventura: When Nature Calls (1995),Comedy,Comedy,,Comedy,88,0.6623655913978495
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Action Comedy Crime Drama Thriller,,Action Comedy Crime Drama Thriller,15,0.5249999999999999
21,Get Shorty (1995),Comedy|Crime|Thriller,Comedy Crime Thriller,hollywood,Comedy Crime Thriller hollywood,89,0.6627659574468084
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Crime Drama Horror Mystery Thriller,serial killer,Crime Drama Horror Mystery Thriller serial killer,36,0.6146341463414634
23,Assassins (1995),Action|Crime|Thriller,Action Crime Thriller,,Action Crime Thriller,16,0.5333333333333332
24,Powder (1995),Drama|Sci-Fi,Drama Sci-Fi,,Drama Sci-Fi,28,0.5939393939393939
25,Leaving Las Vegas (1995),Drama|Romance,Drama Romance,alcoholism,Drama Romance alcoholism,76,0.65679012345679
26,Othello (1995),Drama,Drama,shakespeare,Drama shakespeare,13,0.5055555555555555
27,Now and Then (1995),Children|Drama,Children Drama,,Children Drama,9,0.45
28,Persuasion (1995),Drama|Romance,Drama Romance,in netflix queue jane austen,Drama Romance in netflix queue jane austen,11,0.48124999999999996
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Adventure Drama Fantasy Mystery Sci-Fi,kidnapping,Adventure Drama Fantasy Mystery Sci-Fi kidnapping,38,0.6186046511627906
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Crime Drama,,Crime Drama,3,0.26249999999999996
31,Dangerous Minds (1995),Drama,Drama,high school teacher,Drama high school teacher,38,0.6186046511627906
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Mystery Sci-Fi Thriller,time travel time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending,Mystery Sci-Fi Thriller time travel time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending,177,0.6807692307692307
34,Babe (1995),Children|Drama,Children Drama,animal movie pigs villain nonexistent or not needed for good story,Children Drama animal movie pigs villain nonexistent or not needed for good story,128,0.6736842105263157
36,Dead Man Walking (1995),Crime|Drama,Crime Drama,death penalty nun,Crime Drama death penalty nun,67,0.6513888888888889
38,It Takes Two (1995),Children|Comedy,Children Comedy,twins,Children Comedy twins,4,0.31111111111111106
39,Clueless (1995),Comedy|Romance,Comedy Romance,chick flick funny paul rudd quotable seen more than once emma jane austen,Comedy Romance chick flick funny paul rudd quotable seen more than once emma jane austen,104,0.6678899082568808
40,"Cry, the Beloved Country (1995)",Drama,Drama,in netflix queue south africa,Drama in netflix queue south africa,2,0.19999999999999998
41,Richard III (1995),Drama|War,Drama War,shakespeare,Drama War shakespeare,15,0.5249999999999999
42,Dead Presidents (1995),Action|Crime|Drama,Action Crime Drama,,Action Crime Drama,7,0.4083333333333333
43,Restoration (1995),Drama,Drama,england,Drama england,8,0.4307692307692308
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Action Adventure Fantasy,,Action Adventure Fantasy,46,0.6313725490196078
45,To Die For (1995),Comedy|Drama|Thriller,Comedy Drama Thriller,journalism,Comedy Drama Thriller journalism,32,0.6054054054054054
46,How to Make an American Quilt (1995),Drama|Romance,Drama Romance,wedding,Drama Romance wedding,15,0.5249999999999999
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Mystery Thriller,mystery twist ending serial killer,Mystery Thriller mystery twist ending serial killer,203,0.6831730769230768
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Animation Children Drama Musical Romance,,Animation Children Drama Musical Romance,68,0.6520547945205478
49,When Night Is Falling (1995),Drama|Romance,Drama Romance,,Drama Romance,1,0.11666666666666665
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Crime Mystery Thriller,mindfuck suspense thriller tricky twist ending heist,Crime Mystery Thriller mindfuck suspense thriller tricky twist ending heist,204,0.6832535885167463
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Comedy Drama Romance,adoption prostitution,Comedy Drama Romance adoption prostitution,28,0.5939393939393939
53,Lamerica (1994),Adventure|Drama,Adventure Drama,,Adventure Drama,2,0.19999999999999998
54,"Big Green, The (1995)",Children|Comedy,Children Comedy,,Children Comedy,3,0.26249999999999996
55,Georgia (1995),Drama,Drama,,Drama,1,0.11666666666666665
57,Home for the Holidays (1995),Drama,Drama,,Drama,8,0.4307692307692308
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Comedy Drama Romance,writing,Comedy Drama Romance writing,37,0.6166666666666666
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Adventure Children Fantasy,,Adventure Children Fantasy,34,0.6102564102564102
61,Eye for an Eye (1996),Drama|Thriller,Drama Thriller,,Drama Thriller,6,0.3818181818181818
